"SQLInstance"|"dbName"|"partition_id"|"object_id"|"index_id"|"partition_number"|"hobt_id"|"rows"|"filestream_filegroup_id"|"data_compression"|"data_compression_desc"|"xml_compression"|"xml_compression_desc"
"EC2AMAZ-2A4D56D"|"sampledb"|"562949955190784"|"27"|"2"|"1"|"562949955190784"|"15"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949955256320"|"28"|"2"|"1"|"562949955256320"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949955649536"|"34"|"2"|"1"|"562949955649536"|"2561"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949955780608"|"36"|"2"|"1"|"562949955780608"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949955911680"|"38"|"2"|"1"|"562949955911680"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956042752"|"40"|"2"|"1"|"562949956042752"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956108288"|"41"|"2"|"1"|"562949956108288"|"1018"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956173824"|"42"|"2"|"1"|"562949956173824"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956239360"|"43"|"2"|"1"|"562949956239360"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956304896"|"44"|"2"|"1"|"562949956304896"|"1"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956435968"|"46"|"2"|"1"|"562949956435968"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956698112"|"50"|"2"|"1"|"562949956698112"|"34"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956763648"|"51"|"2"|"1"|"562949956763648"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949956960256"|"54"|"2"|"1"|"562949956960256"|"190"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949957025792"|"55"|"2"|"1"|"562949957025792"|"394"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949957091328"|"56"|"2"|"1"|"562949957091328"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949957222400"|"58"|"2"|"1"|"562949957222400"|"23"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949957615616"|"64"|"2"|"1"|"562949957615616"|"18"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949957812224"|"67"|"2"|"1"|"562949957812224"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949957943296"|"69"|"2"|"1"|"562949957943296"|"1"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949958270976"|"74"|"2"|"1"|"562949958270976"|"180"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949958336512"|"75"|"2"|"1"|"562949958336512"|"108"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949958533120"|"78"|"2"|"1"|"562949958533120"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959057408"|"86"|"2"|"1"|"562949959057408"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959254016"|"89"|"2"|"1"|"562949959254016"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959319552"|"90"|"2"|"1"|"562949959319552"|"98"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959385088"|"91"|"2"|"1"|"562949959385088"|"100"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959516160"|"93"|"2"|"1"|"562949959516160"|"19"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959647232"|"95"|"2"|"1"|"562949959647232"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959712768"|"96"|"2"|"1"|"562949959712768"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959778304"|"97"|"2"|"1"|"562949959778304"|"3"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"562949959843840"|"98"|"2"|"1"|"562949959843840"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424931246080"|"17"|"3"|"1"|"844424931246080"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424931901440"|"27"|"3"|"1"|"844424931901440"|"15"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424931966976"|"28"|"3"|"1"|"844424931966976"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424932360192"|"34"|"3"|"1"|"844424932360192"|"2561"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424932884480"|"42"|"3"|"1"|"844424932884480"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424933146624"|"46"|"3"|"1"|"844424933146624"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424933408768"|"50"|"3"|"1"|"844424933408768"|"34"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424934522880"|"67"|"3"|"1"|"844424934522880"|"0"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424934653952"|"69"|"3"|"1"|"844424934653952"|"1"|"0"|"0"|"NONE"|""|""
"EC2AMAZ-2A4D56D"|"sampledb"|"844424935768064"|"86"|"3"|"1"|"844424935768064"|"0"|"0"|"0"|"NONE"|""|""
