"SQLInstance"|"dbName"|"name"|"object_id"|"principal_id"|"schema_id"|"parent_object_id"|"type"|"type_desc"|"create_date"|"modify_date"|"is_ms_shipped"|"is_published"|"is_schema_published"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysconvgroup"|"71"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysdesend"|"72"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:13 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysdercv"|"73"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:13 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syssingleobjrefs"|"74"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:10 PM"|"4/13/2009 12:59:10 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysmultiobjrefs"|"75"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:10 PM"|"4/13/2009 12:59:10 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysguidrefs"|"78"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysfoqueues"|"79"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syschildinsts"|"80"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"syscompfragments"|"82"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysftsemanticsdb"|"84"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysftstops"|"85"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysftproperties"|"86"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysxmitbody"|"87"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysfos"|"89"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"9/24/2019 2:19:54 PM"|"9/24/2019 2:19:54 PM"|"True"|"False"|"False"
"EC2AMAZ-2A4D56D"|"sampledb"|"sysqnames"|"90"|""|"4"|"0"|"S "|"SYSTEM_TABLE"|"4/13/2009 12:59:12 PM"|"4/13/2009 12:59:12 PM"|"True"|"False"|"False"
