"SQLInstance"|"object_name"|"counter_name"|"instance_name"|"cntr_value"|"cntr_type"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SOAP Method Invocations                                                                                                         "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SOAP WSDL Requests                                                                                                              "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SOAP Session Initiate Requests                                                                                                  "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SOAP Session Terminate Requests                                                                                                 "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Processes blocked                                                                                                               "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Temp Tables For Destruction                                                                                                     "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Event Notifications Delayed Drop                                                                                                "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Trace Event Notification Queue                                                                                                  "|"                                                                                                                                "|"0"|"65792"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"SQL Trace IO Provider Lock Waits                                                                                                "|"                                                                                                                                "|"1"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Tempdb recovery unit id                                                                                                         "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:General Statistics                                                                                                    "|"Tempdb rowset id                                                                                                                "|"                                                                                                                                "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Requests/sec                                                                                                               "|"Xact                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts/sec                                                                                                               "|"Xact                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Number of Deadlocks/sec                                                                                                         "|"Xact                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Waits/sec                                                                                                                  "|"Xact                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Wait Time (ms)                                                                                                             "|"Xact                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time (ms)                                                                                                          "|"Xact                                                                                                                            "|"0"|"1073874176"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Average Wait Time Base                                                                                                          "|"Xact                                                                                                                            "|"0"|"1073939712"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Timeouts (timeout > 0)/sec                                                                                                 "|"Xact                                                                                                                            "|"0"|"272696576"
"EC2AMAZ-2A4D56D"|"SQLServer:Locks                                                                                                                 "|"Lock Requests/sec                                                                                                               "|"RowGroup                                                                                                                        "|"0"|"272696576"
